Dataset,Category,N_Terms,Mean_Count,Std_Count,Mean_Pvalue,Std_Pvalue,Median_Pvalue,Std_Median_Pvalue
ILI,Bonferroni,16,1.25,0.5590169943749475,0.00012556250000000002,0.00010996247584403508,0.000124375,0.00011058134731951858
ILI,FDR,35,1.2,0.4659858980085741,0.0028725714285714288,0.001973909771938703,0.0028604285714285715,0.0019857775920021758
ILI,Uncorrected,59,1.6440677966101696,0.8589057260555881,0.025401,0.01056146017928601,0.02520186440677966,0.01086200784488266
NREVSS,Bonferroni,12,1.4166666666666667,0.6400954789890505,0.00015391666666666668,0.00012562010078893515,0.00014916666666666667,0.0001300434756362485
NREVSS,FDR,27,1.1851851851851851,0.38844772154450063,0.002431185185185185,0.0013132276899709536,0.002431185185185185,0.0013132276899709536
NREVSS,Uncorrected,65,1.5846153846153845,0.9096458768673528,0.027013184615384617,0.010593397371646619,0.026340353846153845,0.011293243464643625
