"time","geo_value","geo_type","covid","Season","flu","rsv"
"2020-11-07","North West","OH Region",0,"2020-2021",NA,NA
"2020-11-07","Ontario","Province",378,"2020-2021",NA,NA
"2020-11-07","Toronto","OH Region",209,"2020-2021",NA,NA
"2020-11-07","West","OH Region",31,"2020-2021",NA,NA
"2020-11-14","Central","OH Region",132,"2020-2021",NA,NA
"2020-11-14","East","OH Region",51,"2020-2021",NA,NA
"2020-11-14","North East","OH Region",2,"2020-2021",NA,NA
"2020-11-14","North West","OH Region",1,"2020-2021",NA,NA
"2020-11-14","Ontario","Province",461,"2020-2021",NA,NA
"2020-11-14","Toronto","OH Region",234,"2020-2021",NA,NA
"2020-11-14","West","OH Region",51,"2020-2021",NA,NA
"2020-11-21","Central","OH Region",165,"2020-2021",NA,NA
"2020-11-21","East","OH Region",39,"2020-2021",NA,NA
"2020-11-21","North East","OH Region",4,"2020-2021",NA,NA
"2020-11-21","North West","OH Region",4,"2020-2021",NA,NA
"2020-11-21","Ontario","Province",519,"2020-2021",NA,NA
"2020-11-21","Toronto","OH Region",239,"2020-2021",NA,NA
"2020-11-21","West","OH Region",81,"2020-2021",NA,NA
"2020-11-28","Central","OH Region",182,"2020-2021",NA,NA
"2020-11-28","East","OH Region",32,"2020-2021",NA,NA
"2020-11-28","North East","OH Region",0,"2020-2021",NA,NA
"2020-11-28","North West","OH Region",6,"2020-2021",NA,NA
"2020-11-28","Ontario","Province",575,"2020-2021",NA,NA
"2020-11-28","Toronto","OH Region",253,"2020-2021",NA,NA
"2020-11-28","West","OH Region",113,"2020-2021",NA,NA
"2020-12-05","Central","OH Region",206,"2020-2021",NA,NA
"2020-12-05","East","OH Region",47,"2020-2021",NA,NA
"2020-12-05","North East","OH Region",3,"2020-2021",NA,NA
"2020-12-05","North West","OH Region",6,"2020-2021",NA,NA
"2020-12-05","Ontario","Province",695,"2020-2021",NA,NA
"2020-12-05","Toronto","OH Region",283,"2020-2021",NA,NA
"2020-12-05","West","OH Region",162,"2020-2021",NA,NA
"2020-12-12","Central","OH Region",243,"2020-2021",NA,NA
"2020-12-12","East","OH Region",64,"2020-2021",NA,NA
"2020-12-12","North East","OH Region",3,"2020-2021",NA,NA
"2020-12-12","North West","OH Region",4,"2020-2021",NA,NA
"2020-12-12","Ontario","Province",836,"2020-2021",NA,NA
"2020-12-12","Toronto","OH Region",322,"2020-2021",NA,NA
"2020-12-12","West","OH Region",213,"2020-2021",NA,NA
"2020-12-19","Central","OH Region",276,"2020-2021",NA,NA
"2020-12-19","East","OH Region",57,"2020-2021",NA,NA
"2020-12-19","North East","OH Region",2,"2020-2021",NA,NA
"2020-12-19","North West","OH Region",1,"2020-2021",NA,NA
"2020-12-19","Ontario","Province",916,"2020-2021",NA,NA
"2020-12-19","Toronto","OH Region",346,"2020-2021",NA,NA
"2020-12-19","West","OH Region",243,"2020-2021",NA,NA
"2020-12-26","Central","OH Region",311,"2020-2021",NA,NA
"2020-12-26","East","OH Region",57,"2020-2021",NA,NA
"2020-12-26","North East","OH Region",5,"2020-2021",NA,NA
"2020-12-26","North West","OH Region",2,"2020-2021",NA,NA
"2020-12-26","Ontario","Province",1017,"2020-2021",NA,NA
"2020-12-26","Toronto","OH Region",386,"2020-2021",NA,NA
"2020-12-26","West","OH Region",272,"2020-2021",NA,NA
"2021-01-02","Central","OH Region",378,"2020-2021",NA,NA
"2021-01-02","East","OH Region",72,"2020-2021",NA,NA
"2021-01-02","North East","OH Region",7,"2020-2021",NA,NA
"2021-01-02","North West","OH Region",3,"2020-2021",NA,NA
"2021-01-02","Ontario","Province",1279,"2020-2021",NA,NA
"2021-01-02","Toronto","OH Region",461,"2020-2021",NA,NA
"2021-01-02","West","OH Region",371,"2020-2021",NA,NA
"2021-01-09","Central","OH Region",416,"2020-2021",NA,NA
"2021-01-09","East","OH Region",100,"2020-2021",NA,NA
"2021-01-09","North East","OH Region",7,"2020-2021",NA,NA
"2021-01-09","North West","OH Region",7,"2020-2021",NA,NA
"2021-01-09","Ontario","Province",1509,"2020-2021",NA,NA
"2021-01-09","Toronto","OH Region",577,"2020-2021",NA,NA
"2021-01-09","West","OH Region",416,"2020-2021",NA,NA
"2021-01-16","Central","OH Region",396,"2020-2021",NA,NA
"2021-01-16","East","OH Region",123,"2020-2021",NA,NA
"2021-01-16","North East","OH Region",13,"2020-2021",NA,NA
"2021-01-16","North West","OH Region",6,"2020-2021",NA,NA
"2021-01-16","Ontario","Province",1661,"2020-2021",NA,NA
"2021-01-16","Toronto","OH Region",678,"2020-2021",NA,NA
"2021-01-16","West","OH Region",455,"2020-2021",NA,NA
"2021-01-23","Central","OH Region",356,"2020-2021",NA,NA
"2021-01-23","East","OH Region",122,"2020-2021",NA,NA
"2021-01-23","North East","OH Region",14,"2020-2021",NA,NA
"2021-01-23","North West","OH Region",4,"2020-2021",NA,NA
"2021-01-23","Ontario","Province",1528,"2020-2021",NA,NA
"2021-01-23","Toronto","OH Region",615,"2020-2021",NA,NA
"2021-01-23","West","OH Region",432,"2020-2021",NA,NA
"2021-01-30","Central","OH Region",319,"2020-2021",NA,NA
"2021-01-30","East","OH Region",115,"2020-2021",NA,NA
"2021-01-30","North East","OH Region",12,"2020-2021",NA,NA
"2021-01-30","North West","OH Region",2,"2020-2021",NA,NA
"2021-01-30","Ontario","Province",1306,"2020-2021",NA,NA
"2021-01-30","Toronto","OH Region",498,"2020-2021",NA,NA
"2021-01-30","West","OH Region",374,"2020-2021",NA,NA
"2021-02-06","Central","OH Region",286,"2020-2021",NA,NA
"2021-02-06","East","OH Region",96,"2020-2021",NA,NA
"2021-02-06","North East","OH Region",11,"2020-2021",NA,NA
"2021-02-06","North West","OH Region",5,"2020-2021",NA,NA
"2021-02-06","Ontario","Province",1051,"2020-2021",NA,NA
"2021-02-06","Toronto","OH Region",391,"2020-2021",NA,NA
"2021-02-06","West","OH Region",275,"2020-2021",NA,NA
"2021-02-13","Central","OH Region",240,"2020-2021",NA,NA
"2021-02-13","East","OH Region",84,"2020-2021",NA,NA
"2021-02-13","North East","OH Region",14,"2020-2021",NA,NA
"2021-02-13","North West","OH Region",8,"2020-2021",NA,NA
"2021-02-13","Ontario","Province",853,"2020-2021",NA,NA
"2021-02-13","Toronto","OH Region",328,"2020-2021",NA,NA
"2021-02-13","West","OH Region",191,"2020-2021",NA,NA
"2021-02-20","Central","OH Region",214,"2020-2021",NA,NA
"2021-02-20","East","OH Region",78,"2020-2021",NA,NA
"2021-02-20","North East","OH Region",11,"2020-2021",NA,NA
"2021-02-20","North West","OH Region",15,"2020-2021",NA,NA
"2021-02-20","Ontario","Province",728,"2020-2021",NA,NA
"2021-02-20","Toronto","OH Region",260,"2020-2021",NA,NA
"2021-02-20","West","OH Region",163,"2020-2021",NA,NA
"2021-02-27","Central","OH Region",201,"2020-2021",NA,NA
"2021-02-27","East","OH Region",70,"2020-2021",NA,NA
"2021-02-27","North East","OH Region",9,"2020-2021",NA,NA
"2021-02-27","North West","OH Region",26,"2020-2021",NA,NA
"2021-02-27","Ontario","Province",691,"2020-2021",NA,NA
"2021-02-27","Toronto","OH Region",240,"2020-2021",NA,NA
"2021-02-27","West","OH Region",159,"2020-2021",NA,NA
"2021-03-06","Central","OH Region",188,"2020-2021",NA,NA
"2021-03-06","East","OH Region",74,"2020-2021",NA,NA
"2021-03-06","North East","OH Region",4,"2020-2021",NA,NA
"2021-03-06","North West","OH Region",37,"2020-2021",NA,NA
"2021-03-06","Ontario","Province",650,"2020-2021",NA,NA
"2021-03-06","Toronto","OH Region",205,"2020-2021",NA,NA
"2021-03-06","West","OH Region",155,"2020-2021",NA,NA
"2021-03-13","Central","OH Region",197,"2020-2021",NA,NA
"2021-03-13","East","OH Region",79,"2020-2021",NA,NA
"2021-03-13","North East","OH Region",5,"2020-2021",NA,NA
"2021-03-13","North West","OH Region",57,"2020-2021",NA,NA
"2021-03-13","Ontario","Province",694,"2020-2021",NA,NA
"2021-03-13","Toronto","OH Region",214,"2020-2021",NA,NA
"2021-03-13","West","OH Region",155,"2020-2021",NA,NA
"2021-03-20","Central","OH Region",214,"2020-2021",NA,NA
"2021-03-20","East","OH Region",87,"2020-2021",NA,NA
"2021-03-20","North East","OH Region",20,"2020-2021",NA,NA
"2021-03-20","North West","OH Region",54,"2020-2021",NA,NA
"2021-03-20","Ontario","Province",778,"2020-2021",NA,NA
"2021-03-20","Toronto","OH Region",223,"2020-2021",NA,NA
"2021-03-20","West","OH Region",191,"2020-2021",NA,NA
"2021-03-27","Central","OH Region",255,"2020-2021",NA,NA
"2021-03-27","East","OH Region",119,"2020-2021",NA,NA
"2021-03-27","North East","OH Region",26,"2020-2021",NA,NA
"2021-03-27","North West","OH Region",44,"2020-2021",NA,NA
"2021-03-27","Ontario","Province",939,"2020-2021",NA,NA
"2021-03-27","Toronto","OH Region",310,"2020-2021",NA,NA
"2021-03-27","West","OH Region",195,"2020-2021",NA,NA
"2021-04-03","Central","OH Region",335,"2020-2021",NA,NA
"2021-04-03","East","OH Region",172,"2020-2021",NA,NA
"2021-04-03","North East","OH Region",21,"2020-2021",NA,NA
"2021-04-03","North West","OH Region",29,"2020-2021",NA,NA
"2021-04-03","Ontario","Province",1176,"2020-2021",NA,NA
"2021-04-03","Toronto","OH Region",440,"2020-2021",NA,NA
"2021-04-03","West","OH Region",194,"2020-2021",NA,NA
"2021-04-10","Central","OH Region",427,"2020-2021",NA,NA
"2021-04-10","East","OH Region",242,"2020-2021",NA,NA
"2021-04-10","North East","OH Region",24,"2020-2021",NA,NA
"2021-04-10","North West","OH Region",25,"2020-2021",NA,NA
"2021-04-10","Ontario","Province",1527,"2020-2021",NA,NA
"2021-04-10","Toronto","OH Region",602,"2020-2021",NA,NA
"2021-04-10","West","OH Region",222,"2020-2021",NA,NA
"2021-04-17","Central","OH Region",606,"2020-2021",NA,NA
"2021-04-17","East","OH Region",308,"2020-2021",NA,NA
"2021-04-17","North East","OH Region",27,"2020-2021",NA,NA
"2021-04-17","North West","OH Region",18,"2020-2021",NA,NA
"2021-04-17","Ontario","Province",2017,"2020-2021",NA,NA
"2021-04-17","Toronto","OH Region",738,"2020-2021",NA,NA
"2021-04-17","West","OH Region",334,"2020-2021",NA,NA
"2021-04-24","Central","OH Region",679,"2020-2021",NA,NA
"2021-04-24","East","OH Region",339,"2020-2021",NA,NA
"2021-04-24","North East","OH Region",35,"2020-2021",NA,NA
"2021-04-24","North West","OH Region",12,"2020-2021",NA,NA
"2021-04-24","Ontario","Province",2329,"2020-2021",NA,NA
"2021-04-24","Toronto","OH Region",808,"2020-2021",NA,NA
"2021-04-24","West","OH Region",470,"2020-2021",NA,NA
"2021-05-01","Central","OH Region",585,"2020-2021",NA,NA
"2021-05-01","East","OH Region",367,"2020-2021",NA,NA
"2021-05-01","North East","OH Region",37,"2020-2021",NA,NA
"2021-05-01","North West","OH Region",10,"2020-2021",NA,NA
"2021-05-01","Ontario","Province",2223,"2020-2021",NA,NA
"2021-05-01","Toronto","OH Region",706,"2020-2021",NA,NA
"2021-05-01","West","OH Region",530,"2020-2021",NA,NA
"2021-05-08","Central","OH Region",489,"2020-2021",NA,NA
"2021-05-08","East","OH Region",313,"2020-2021",NA,NA
"2021-05-08","North East","OH Region",28,"2020-2021",NA,NA
"2021-05-08","North West","OH Region",10,"2020-2021",NA,NA
"2021-05-08","Ontario","Province",1936,"2020-2021",NA,NA
"2021-05-08","Toronto","OH Region",614,"2020-2021",NA,NA
"2021-05-08","West","OH Region",498,"2020-2021",NA,NA
"2021-05-15","Central","OH Region",403,"2020-2021",NA,NA
"2021-05-15","East","OH Region",258,"2020-2021",NA,NA
"2021-05-15","North East","OH Region",23,"2020-2021",NA,NA
"2021-05-15","North West","OH Region",16,"2020-2021",NA,NA
"2021-05-15","Ontario","Province",1592,"2020-2021",NA,NA
"2021-05-15","Toronto","OH Region",495,"2020-2021",NA,NA
"2021-05-15","West","OH Region",408,"2020-2021",NA,NA
"2021-05-22","Central","OH Region",364,"2020-2021",NA,NA
"2021-05-22","East","OH Region",213,"2020-2021",NA,NA
"2021-05-22","North East","OH Region",27,"2020-2021",NA,NA
"2021-05-22","North West","OH Region",12,"2020-2021",NA,NA
"2021-05-22","Ontario","Province",1299,"2020-2021",NA,NA
"2021-05-22","Toronto","OH Region",374,"2020-2021",NA,NA
"2021-05-22","West","OH Region",324,"2020-2021",NA,NA
"2021-05-29","Central","OH Region",286,"2020-2021",NA,NA
"2021-05-29","East","OH Region",150,"2020-2021",NA,NA
"2021-05-29","North East","OH Region",39,"2020-2021",NA,NA
"2021-05-29","North West","OH Region",12,"2020-2021",NA,NA
"2021-05-29","Ontario","Province",1012,"2020-2021",NA,NA
"2021-05-29","Toronto","OH Region",289,"2020-2021",NA,NA
"2021-05-29","West","OH Region",250,"2020-2021",NA,NA
"2021-06-05","Central","OH Region",183,"2020-2021",NA,NA
"2021-06-05","East","OH Region",111,"2020-2021",NA,NA
"2021-06-05","North East","OH Region",31,"2020-2021",NA,NA
"2021-06-05","North West","OH Region",12,"2020-2021",NA,NA
"2021-06-05","Ontario","Province",709,"2020-2021",NA,NA
"2021-06-05","Toronto","OH Region",195,"2020-2021",NA,NA
"2021-06-05","West","OH Region",191,"2020-2021",NA,NA
"2021-06-12","Central","OH Region",130,"2020-2021",NA,NA
"2021-06-12","East","OH Region",72,"2020-2021",NA,NA
"2021-06-12","North East","OH Region",28,"2020-2021",NA,NA
"2021-06-12","North West","OH Region",13,"2020-2021",NA,NA
"2021-06-12","Ontario","Province",507,"2020-2021",NA,NA
"2021-06-12","Toronto","OH Region",121,"2020-2021",NA,NA
"2021-06-12","West","OH Region",157,"2020-2021",NA,NA
"2021-06-19","Central","OH Region",78,"2020-2021",NA,NA
"2021-06-19","East","OH Region",60,"2020-2021",NA,NA
"2021-06-19","North East","OH Region",18,"2020-2021",NA,NA
"2021-06-19","North West","OH Region",9,"2020-2021",NA,NA
"2021-06-19","Ontario","Province",375,"2020-2021",NA,NA
"2021-06-19","Toronto","OH Region",55,"2020-2021",NA,NA
"2021-06-19","West","OH Region",169,"2020-2021",NA,NA
"2021-06-26","Central","OH Region",51,"2020-2021",NA,NA
"2021-06-26","East","OH Region",46,"2020-2021",NA,NA
"2021-06-26","North East","OH Region",15,"2020-2021",NA,NA
"2021-06-26","North West","OH Region",7,"2020-2021",NA,NA
"2021-06-26","Ontario","Province",285,"2020-2021",NA,NA
"2021-06-26","Toronto","OH Region",32,"2020-2021",NA,NA
"2021-06-26","West","OH Region",143,"2020-2021",NA,NA
"2021-07-03","Central","OH Region",40,"2020-2021",NA,NA
"2021-07-03","East","OH Region",28,"2020-2021",NA,NA
"2021-07-03","North East","OH Region",12,"2020-2021",NA,NA
"2021-07-03","North West","OH Region",5,"2020-2021",NA,NA
"2021-07-03","Ontario","Province",228,"2020-2021",NA,NA
"2021-07-03","Toronto","OH Region",28,"2020-2021",NA,NA
"2021-07-03","West","OH Region",130,"2020-2021",NA,NA
"2021-07-10","Central","OH Region",43,"2020-2021",NA,NA
"2021-07-10","East","OH Region",26,"2020-2021",NA,NA
"2021-07-10","North East","OH Region",7,"2020-2021",NA,NA
"2021-07-10","North West","OH Region",1,"2020-2021",NA,NA
"2021-07-10","Ontario","Province",185,"2020-2021",NA,NA
"2021-07-10","Toronto","OH Region",20,"2020-2021",NA,NA
"2021-07-10","West","OH Region",101,"2020-2021",NA,NA
"2021-07-17","Central","OH Region",33,"2020-2021",NA,NA
"2021-07-17","East","OH Region",22,"2020-2021",NA,NA
"2021-07-17","North East","OH Region",4,"2020-2021",NA,NA
"2021-07-17","North West","OH Region",1,"2020-2021",NA,NA
"2021-07-17","Ontario","Province",158,"2020-2021",NA,NA
"2021-07-17","Toronto","OH Region",22,"2020-2021",NA,NA
"2021-07-17","West","OH Region",83,"2020-2021",NA,NA
"2021-07-24","Central","OH Region",28,"2020-2021",NA,NA
"2021-07-24","East","OH Region",16,"2020-2021",NA,NA
"2021-07-24","North East","OH Region",4,"2020-2021",NA,NA
"2021-07-24","North West","OH Region",2,"2020-2021",NA,NA
"2021-07-24","Ontario","Province",136,"2020-2021",NA,NA
"2021-07-24","Toronto","OH Region",32,"2020-2021",NA,NA
"2021-07-24","West","OH Region",68,"2020-2021",NA,NA
"2021-07-31","Central","OH Region",21,"2020-2021",NA,NA
"2021-07-31","East","OH Region",12,"2020-2021",NA,NA
"2021-07-31","North East","OH Region",3,"2020-2021",NA,NA
"2021-07-31","North West","OH Region",1,"2020-2021",NA,NA
"2021-07-31","Ontario","Province",113,"2020-2021",NA,NA
"2021-07-31","Toronto","OH Region",24,"2020-2021",NA,NA
"2021-07-31","West","OH Region",62,"2020-2021",NA,NA
"2021-08-07","Central","OH Region",30,"2020-2021",NA,NA
"2021-08-07","East","OH Region",9,"2020-2021",NA,NA
"2021-08-07","North East","OH Region",NA,"2020-2021",NA,NA
"2021-08-07","North West","OH Region",2,"2020-2021",NA,NA
"2021-08-07","Ontario","Province",120,"2020-2021",NA,NA
"2021-08-07","Toronto","OH Region",27,"2020-2021",NA,NA
"2021-08-07","West","OH Region",57,"2020-2021",NA,NA
"2021-08-14","Central","OH Region",30,"2020-2021",NA,NA
"2021-08-14","East","OH Region",12,"2020-2021",NA,NA
"2021-08-14","North East","OH Region",5,"2020-2021",NA,NA
"2021-08-14","North West","OH Region",2,"2020-2021",NA,NA
"2021-08-14","Ontario","Province",131,"2020-2021",NA,NA
"2021-08-14","Toronto","OH Region",27,"2020-2021",NA,NA
"2021-08-14","West","OH Region",66,"2020-2021",NA,NA
"2021-08-21","Central","OH Region",47,"2020-2021",NA,NA
"2021-08-21","East","OH Region",17,"2020-2021",NA,NA
"2021-08-21","North East","OH Region",6,"2020-2021",NA,NA
"2021-08-21","North West","OH Region",0,"2020-2021",NA,NA
"2021-08-21","Ontario","Province",205,"2020-2021",NA,NA
"2021-08-21","Toronto","OH Region",41,"2020-2021",NA,NA
"2021-08-21","West","OH Region",108,"2020-2021",NA,NA
"2021-08-28","Central","OH Region",98,"2021-2022",NA,NA
"2021-08-28","East","OH Region",17,"2021-2022",NA,NA
"2021-08-28","North East","OH Region",8,"2021-2022",NA,NA
"2021-08-28","North West","OH Region",3,"2021-2022",NA,NA
"2021-08-28","Ontario","Province",314,"2021-2022",NA,NA
"2021-08-28","Toronto","OH Region",71,"2021-2022",NA,NA
"2021-08-28","West","OH Region",132,"2021-2022",NA,NA
"2021-09-04","Central","OH Region",106,"2021-2022",NA,NA
"2021-09-04","East","OH Region",22,"2021-2022",NA,NA
"2021-09-04","North East","OH Region",6,"2021-2022",NA,NA
"2021-09-04","North West","OH Region",2,"2021-2022",NA,NA
"2021-09-04","Ontario","Province",334,"2021-2022",NA,NA
"2021-09-04","Toronto","OH Region",87,"2021-2022",NA,NA
"2021-09-04","West","OH Region",122,"2021-2022",NA,NA
"2021-09-11","Central","OH Region",94,"2021-2022",NA,NA
"2021-09-11","East","OH Region",25,"2021-2022",NA,NA
"2021-09-11","North East","OH Region",5,"2021-2022",NA,NA
"2021-09-11","North West","OH Region",1,"2021-2022",NA,NA
"2021-09-11","Ontario","Province",365,"2021-2022",NA,NA
"2021-09-11","Toronto","OH Region",109,"2021-2022",NA,NA
"2021-09-11","West","OH Region",141,"2021-2022",NA,NA
"2021-09-18","Central","OH Region",92,"2021-2022",NA,NA
"2021-09-18","East","OH Region",28,"2021-2022",NA,NA
"2021-09-18","North East","OH Region",3,"2021-2022",NA,NA
"2021-09-18","North West","OH Region",3,"2021-2022",NA,NA
"2021-09-18","Ontario","Province",331,"2021-2022",NA,NA
"2021-09-18","Toronto","OH Region",90,"2021-2022",NA,NA
"2021-09-18","West","OH Region",128,"2021-2022",NA,NA
"2021-09-25","Central","OH Region",85,"2021-2022",NA,NA
"2021-09-25","East","OH Region",35,"2021-2022",NA,NA
"2021-09-25","North East","OH Region",3,"2021-2022",NA,NA
"2021-09-25","North West","OH Region",2,"2021-2022",NA,NA
"2021-09-25","Ontario","Province",311,"2021-2022",NA,NA
"2021-09-25","Toronto","OH Region",73,"2021-2022",NA,NA
"2021-09-25","West","OH Region",128,"2021-2022",NA,NA
"2021-10-02","Central","OH Region",71,"2021-2022",NA,NA
"2021-10-02","East","OH Region",36,"2021-2022",NA,NA
"2021-10-02","North East","OH Region",3,"2021-2022",NA,NA
"2021-10-02","North West","OH Region",1,"2021-2022",NA,NA
"2021-10-02","Ontario","Province",285,"2021-2022",NA,NA
"2021-10-02","Toronto","OH Region",65,"2021-2022",NA,NA
"2021-10-02","West","OH Region",119,"2021-2022",NA,NA
"2021-10-09","Central","OH Region",70,"2021-2022",NA,NA
"2021-10-09","East","OH Region",35,"2021-2022",NA,NA
"2021-10-09","North East","OH Region",4,"2021-2022",NA,NA
"2021-10-09","North West","OH Region",2,"2021-2022",NA,NA
"2021-10-09","Ontario","Province",265,"2021-2022",NA,NA
"2021-10-09","Toronto","OH Region",67,"2021-2022",NA,NA
"2021-10-09","West","OH Region",101,"2021-2022",NA,NA
"2021-10-16","Central","OH Region",67,"2021-2022",NA,NA
"2021-10-16","East","OH Region",35,"2021-2022",NA,NA
"2021-10-16","North East","OH Region",7,"2021-2022",NA,NA
"2021-10-16","North West","OH Region",3,"2021-2022",NA,NA
"2021-10-16","Ontario","Province",250,"2021-2022",NA,NA
"2021-10-16","Toronto","OH Region",52,"2021-2022",NA,NA
"2021-10-16","West","OH Region",98,"2021-2022",NA,NA
"2021-10-23","Central","OH Region",68,"2021-2022",NA,NA
"2021-10-23","East","OH Region",49,"2021-2022",NA,NA
"2021-10-23","North East","OH Region",10,"2021-2022",NA,NA
"2021-10-23","North West","OH Region",2,"2021-2022",NA,NA
"2021-10-23","Ontario","Province",262,"2021-2022",NA,NA
"2021-10-23","Toronto","OH Region",46,"2021-2022",NA,NA
"2021-10-23","West","OH Region",101,"2021-2022",NA,NA
"2021-10-30","Central","OH Region",51,"2021-2022",NA,NA
"2021-10-30","East","OH Region",36,"2021-2022",NA,NA
"2021-10-30","North East","OH Region",12,"2021-2022",NA,NA
"2021-10-30","North West","OH Region",2,"2021-2022",NA,NA
"2021-10-30","Ontario","Province",222,"2021-2022",NA,NA
"2021-10-30","Toronto","OH Region",36,"2021-2022",NA,NA
"2021-10-30","West","OH Region",97,"2021-2022",NA,NA
"2021-11-06","Central","OH Region",49,"2021-2022",NA,NA
"2021-11-06","East","OH Region",37,"2021-2022",NA,NA
"2021-11-06","North East","OH Region",18,"2021-2022",NA,NA
"2021-11-06","North West","OH Region",2,"2021-2022",NA,NA
"2021-11-06","Ontario","Province",227,"2021-2022",NA,NA
"2021-11-06","Toronto","OH Region",35,"2021-2022",NA,NA
"2021-11-06","West","OH Region",100,"2021-2022",NA,NA
"2021-11-13","Central","OH Region",47,"2021-2022",NA,NA
"2021-11-13","East","OH Region",56,"2021-2022",NA,NA
"2021-11-13","North East","OH Region",32,"2021-2022",NA,NA
"2021-11-13","North West","OH Region",4,"2021-2022",NA,NA
"2021-11-13","Ontario","Province",267,"2021-2022",NA,NA
"2021-11-13","Toronto","OH Region",23,"2021-2022",NA,NA
"2021-11-13","West","OH Region",119,"2021-2022",NA,NA
"2021-11-20","Central","OH Region",56,"2021-2022",NA,NA
"2021-11-20","East","OH Region",48,"2021-2022",NA,NA
"2021-11-20","North East","OH Region",37,"2021-2022",NA,NA
"2021-11-20","North West","OH Region",1,"2021-2022",NA,NA
"2021-11-20","Ontario","Province",280,"2021-2022",NA,NA
"2021-11-20","Toronto","OH Region",25,"2021-2022",NA,NA
"2021-11-20","West","OH Region",126,"2021-2022",NA,NA
"2021-11-27","Central","OH Region",51,"2021-2022",NA,NA
"2021-11-27","East","OH Region",51,"2021-2022",NA,NA
"2021-11-27","North East","OH Region",39,"2021-2022",NA,NA
"2021-11-27","North West","OH Region",1,"2021-2022",NA,NA
"2021-11-27","Ontario","Province",271,"2021-2022",NA,NA
"2021-11-27","Toronto","OH Region",33,"2021-2022",NA,NA
"2021-11-27","West","OH Region",107,"2021-2022",NA,NA
"2021-12-04","Central","OH Region",56,"2021-2022",NA,NA
"2021-12-04","East","OH Region",60,"2021-2022",NA,NA
"2021-12-04","North East","OH Region",42,"2021-2022",NA,NA
"2021-12-04","North West","OH Region",1,"2021-2022",NA,NA
"2021-12-04","Ontario","Province",297,"2021-2022",NA,NA
"2021-12-04","Toronto","OH Region",35,"2021-2022",NA,NA
"2021-12-04","West","OH Region",115,"2021-2022",NA,NA
"2021-12-11","Central","OH Region",66,"2021-2022",NA,NA
"2021-12-11","East","OH Region",71,"2021-2022",NA,NA
"2021-12-11","North East","OH Region",37,"2021-2022",NA,NA
"2021-12-11","North West","OH Region",2,"2021-2022",NA,NA
"2021-12-11","Ontario","Province",333,"2021-2022",NA,NA
"2021-12-11","Toronto","OH Region",38,"2021-2022",NA,NA
"2021-12-11","West","OH Region",135,"2021-2022",NA,NA
"2021-12-18","Central","OH Region",62,"2021-2022",NA,NA
"2021-12-18","East","OH Region",65,"2021-2022",NA,NA
"2021-12-18","North East","OH Region",32,"2021-2022",NA,NA
"2021-12-18","North West","OH Region",7,"2021-2022",NA,NA
"2021-12-18","Ontario","Province",372,"2021-2022",NA,NA
"2021-12-18","Toronto","OH Region",45,"2021-2022",NA,NA
"2021-12-18","West","OH Region",176,"2021-2022",NA,NA
"2021-12-25","Central","OH Region",100,"2021-2022",NA,NA
"2021-12-25","East","OH Region",76,"2021-2022",NA,NA
"2021-12-25","North East","OH Region",25,"2021-2022",NA,NA
"2021-12-25","North West","OH Region",11,"2021-2022",NA,NA
"2021-12-25","Ontario","Province",503,"2021-2022",NA,NA
"2021-12-25","Toronto","OH Region",97,"2021-2022",NA,NA
"2021-12-25","West","OH Region",211,"2021-2022",NA,NA
"2022-01-01","Central","OH Region",266,"2021-2022",NA,NA
"2022-01-01","East","OH Region",167,"2021-2022",NA,NA
"2022-01-01","North East","OH Region",27,"2021-2022",NA,NA
"2022-01-01","North West","OH Region",20,"2021-2022",NA,NA
"2022-01-01","Ontario","Province",1164,"2021-2022",NA,NA
"2022-01-01","Toronto","OH Region",310,"2021-2022",NA,NA
"2022-01-01","West","OH Region",385,"2021-2022",NA,NA
"2022-01-08","Central","OH Region",592,"2021-2022",NA,NA
"2022-01-08","East","OH Region",393,"2021-2022",NA,NA
"2022-01-08","North East","OH Region",62,"2021-2022",NA,NA
"2022-01-08","North West","OH Region",22,"2021-2022",NA,NA
"2022-01-08","Ontario","Province",2492,"2021-2022",NA,NA
"2022-01-08","Toronto","OH Region",742,"2021-2022",NA,NA
"2022-01-08","West","OH Region",696,"2021-2022",NA,NA
"2022-01-15","Central","OH Region",823,"2021-2022",NA,NA
"2022-01-15","East","OH Region",608,"2021-2022",NA,NA
"2022-01-15","North East","OH Region",107,"2021-2022",NA,NA
"2022-01-15","North West","OH Region",32,"2021-2022",NA,NA
"2022-01-15","Ontario","Province",3721,"2021-2022",NA,NA
"2022-01-15","Toronto","OH Region",1169,"2021-2022",NA,NA
"2022-01-15","West","OH Region",994,"2021-2022",NA,NA
"2022-01-22","Central","OH Region",850,"2021-2022",NA,NA
"2022-01-22","East","OH Region",670,"2021-2022",NA,NA
"2022-01-22","North East","OH Region",139,"2021-2022",NA,NA
"2022-01-22","North West","OH Region",41,"2021-2022",NA,NA
"2022-01-22","Ontario","Province",4048,"2021-2022",NA,NA
"2022-01-22","Toronto","OH Region",1222,"2021-2022",NA,NA
"2022-01-22","West","OH Region",1137,"2021-2022",NA,NA
"2022-01-29","Central","OH Region",731,"2021-2022",NA,NA
"2022-01-29","East","OH Region",614,"2021-2022",NA,NA
"2022-01-29","North East","OH Region",145,"2021-2022",NA,NA
"2022-01-29","North West","OH Region",63,"2021-2022",NA,NA
