"time","geo_value","geo_type","covid","Season","flu","rsv"
"2019-11-23","North East","OH Region",NA,"2019-2020",NA,NA
"2019-11-23","North West","OH Region",NA,"2019-2020",NA,NA
"2019-11-23","Ontario","Province",NA,"2019-2020",NA,NA
"2019-11-23","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-11-23","West","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","Central","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","East","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","North East","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","North West","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","Ontario","Province",NA,"2019-2020",NA,NA
"2019-11-30","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-11-30","West","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","Central","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","East","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","North East","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","North West","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","Ontario","Province",NA,"2019-2020",NA,NA
"2019-12-07","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-12-07","West","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","Central","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","East","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","North East","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","North West","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","Ontario","Province",NA,"2019-2020",NA,NA
"2019-12-14","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-12-14","West","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","Central","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","East","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","North East","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","North West","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","Ontario","Province",NA,"2019-2020",NA,NA
"2019-12-21","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-12-21","West","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","Central","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","East","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","North East","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","North West","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","Ontario","Province",NA,"2019-2020",NA,NA
"2019-12-28","Toronto","OH Region",NA,"2019-2020",NA,NA
"2019-12-28","West","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","Central","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","East","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","North East","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","North West","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","Ontario","Province",NA,"2019-2020",NA,NA
"2020-01-04","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-01-04","West","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","Central","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","East","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","North East","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","North West","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","Ontario","Province",NA,"2019-2020",NA,NA
"2020-01-11","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-01-11","West","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","Central","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","East","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","North East","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","North West","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","Ontario","Province",NA,"2019-2020",NA,NA
"2020-01-18","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-01-18","West","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","Central","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","East","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","North East","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","North West","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","Ontario","Province",NA,"2019-2020",NA,NA
"2020-01-25","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-01-25","West","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","Central","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","East","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","North East","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","North West","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","Ontario","Province",NA,"2019-2020",NA,NA
"2020-02-01","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-02-01","West","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","Central","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","East","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","North East","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","North West","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","Ontario","Province",NA,"2019-2020",NA,NA
"2020-02-08","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-02-08","West","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","Central","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","East","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","North East","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","North West","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","Ontario","Province",NA,"2019-2020",NA,NA
"2020-02-15","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-02-15","West","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","Central","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","East","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","North East","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","North West","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","Ontario","Province",NA,"2019-2020",NA,NA
"2020-02-22","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-02-22","West","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","Central","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","East","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","North East","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","North West","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","Ontario","Province",NA,"2019-2020",NA,NA
"2020-02-29","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-02-29","West","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","Central","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","East","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","North East","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","North West","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","Ontario","Province",NA,"2019-2020",NA,NA
"2020-03-07","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-03-07","West","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","Central","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","East","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","North East","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","North West","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","Ontario","Province",NA,"2019-2020",NA,NA
"2020-03-14","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-03-14","West","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","Central","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","East","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","North East","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","North West","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","Ontario","Province",NA,"2019-2020",NA,NA
"2020-03-21","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-03-21","West","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","Central","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","East","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","North East","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","North West","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","Ontario","Province",NA,"2019-2020",NA,NA
"2020-03-28","Toronto","OH Region",NA,"2019-2020",NA,NA
"2020-03-28","West","OH Region",NA,"2019-2020",NA,NA
"2020-04-04","Central","OH Region",82,"2019-2020",NA,NA
"2020-04-04","East","OH Region",49,"2019-2020",NA,NA
"2020-04-04","North East","OH Region",7,"2019-2020",NA,NA
"2020-04-04","North West","OH Region",1,"2019-2020",NA,NA
"2020-04-04","Ontario","Province",287,"2019-2020",NA,NA
"2020-04-04","Toronto","OH Region",81,"2019-2020",NA,NA
"2020-04-04","West","OH Region",78,"2019-2020",NA,NA
"2020-04-11","Central","OH Region",175,"2019-2020",NA,NA
"2020-04-11","East","OH Region",101,"2019-2020",NA,NA
"2020-04-11","North East","OH Region",10,"2019-2020",NA,NA
"2020-04-11","North West","OH Region",3,"2019-2020",NA,NA
"2020-04-11","Ontario","Province",666,"2019-2020",NA,NA
"2020-04-11","Toronto","OH Region",224,"2019-2020",NA,NA
"2020-04-11","West","OH Region",164,"2019-2020",NA,NA
"2020-04-18","Central","OH Region",213,"2019-2020",NA,NA
"2020-04-18","East","OH Region",91,"2019-2020",NA,NA
"2020-04-18","North East","OH Region",9,"2019-2020",NA,NA
"2020-04-18","North West","OH Region",3,"2019-2020",NA,NA
"2020-04-18","Ontario","Province",794,"2019-2020",NA,NA
"2020-04-18","Toronto","OH Region",334,"2019-2020",NA,NA
"2020-04-18","West","OH Region",155,"2019-2020",NA,NA
"2020-04-25","Central","OH Region",242,"2019-2020",NA,NA
"2020-04-25","East","OH Region",93,"2019-2020",NA,NA
"2020-04-25","North East","OH Region",9,"2019-2020",NA,NA
"2020-04-25","North West","OH Region",4,"2019-2020",NA,NA
"2020-04-25","Ontario","Province",901,"2019-2020",NA,NA
"2020-04-25","Toronto","OH Region",399,"2019-2020",NA,NA
"2020-04-25","West","OH Region",164,"2019-2020",NA,NA
"2020-05-02","Central","OH Region",256,"2019-2020",NA,NA
"2020-05-02","East","OH Region",120,"2019-2020",NA,NA
"2020-05-02","North East","OH Region",10,"2019-2020",NA,NA
"2020-05-02","North West","OH Region",2,"2019-2020",NA,NA
"2020-05-02","Ontario","Province",1002,"2019-2020",NA,NA
"2020-05-02","Toronto","OH Region",433,"2019-2020",NA,NA
"2020-05-02","West","OH Region",192,"2019-2020",NA,NA
"2020-05-09","Central","OH Region",253,"2019-2020",NA,NA
"2020-05-09","East","OH Region",118,"2019-2020",NA,NA
"2020-05-09","North East","OH Region",10,"2019-2020",NA,NA
"2020-05-09","North West","OH Region",2,"2019-2020",NA,NA
"2020-05-09","Ontario","Province",1047,"2019-2020",NA,NA
"2020-05-09","Toronto","OH Region",480,"2019-2020",NA,NA
"2020-05-09","West","OH Region",194,"2019-2020",NA,NA
"2020-05-16","Central","OH Region",248,"2019-2020",NA,NA
"2020-05-16","East","OH Region",117,"2019-2020",NA,NA
"2020-05-16","North East","OH Region",6,"2019-2020",NA,NA
"2020-05-16","North West","OH Region",2,"2019-2020",NA,NA
"2020-05-16","Ontario","Province",1021,"2019-2020",NA,NA
"2020-05-16","Toronto","OH Region",457,"2019-2020",NA,NA
"2020-05-16","West","OH Region",200,"2019-2020",NA,NA
"2020-05-23","Central","OH Region",225,"2019-2020",NA,NA
"2020-05-23","East","OH Region",96,"2019-2020",NA,NA
"2020-05-23","North East","OH Region",4,"2019-2020",NA,NA
"2020-05-23","North West","OH Region",1,"2019-2020",NA,NA
"2020-05-23","Ontario","Province",945,"2019-2020",NA,NA
"2020-05-23","Toronto","OH Region",428,"2019-2020",NA,NA
"2020-05-23","West","OH Region",200,"2019-2020",NA,NA
"2020-05-30","Central","OH Region",192,"2019-2020",NA,NA
"2020-05-30","East","OH Region",83,"2019-2020",NA,NA
"2020-05-30","North East","OH Region",4,"2019-2020",NA,NA
"2020-05-30","North West","OH Region",2,"2019-2020",NA,NA
"2020-05-30","Ontario","Province",819,"2019-2020",NA,NA
"2020-05-30","Toronto","OH Region",389,"2019-2020",NA,NA
"2020-05-30","West","OH Region",158,"2019-2020",NA,NA
"2020-06-06","Central","OH Region",182,"2019-2020",NA,NA
"2020-06-06","East","OH Region",76,"2019-2020",NA,NA
"2020-06-06","North East","OH Region",2,"2019-2020",NA,NA
"2020-06-06","North West","OH Region",2,"2019-2020",NA,NA
"2020-06-06","Ontario","Province",721,"2019-2020",NA,NA
"2020-06-06","Toronto","OH Region",344,"2019-2020",NA,NA
"2020-06-06","West","OH Region",123,"2019-2020",NA,NA
