Dataset,Category,N_Terms,Mean_Count,Std_Count,Mean_Pvalue,Std_Pvalue,Median_Pvalue,Std_Median_Pvalue
ILI,Bonferroni,16,1.25,0.5590169943749475,0.00012556250000000002,0.00010996247584403508,0.000124375,0.00011058134731951858
ILI,FDR,51,1.3725490196078431,0.7129278024587389,0.002095901960784314,0.002009662133879498,0.002084254901960784,0.0020211916873433293
ILI,Uncorrected,110,2.2363636363636363,1.2715579043567902,0.018589218181818187,0.011473414902905536,0.0175216,0.012281214023643813
NREVSS,Bonferroni,12,1.4166666666666667,0.6400954789890505,0.00015391666666666668,0.00012562010078893515,0.00014916666666666667,0.0001300434756362485
NREVSS,FDR,39,1.5897435897435896,0.8978021230775177,0.001862948717948718,0.0014202582637787007,0.0018671794871794871,0.0014429924546561597
NREVSS,Uncorrected,104,2.0576923076923075,1.125123267408467,0.021548490384615388,0.012052851671025978,0.02080492307692308,0.012969712099951227
