=== COMPREHENSIVE SIGNIFICANT TERMS ANALYSIS ===
Total files analyzed: 10 (5 ILI + 5 NREVSS)
Total unique terms found: 135

=== COMBINED ANALYSIS (ILI + NREVSS) ===
Total Bonferroni significant terms: 26

Term	Count/10	Mean_p_value	Median_p_value	Files
avian flu 2024 + avian flu in milk + bird flu 2024_7be51fa5	1/10	0.004087	0.004087	granger_significant_terms_nrevss_lag5.txt
tussionex	1/10	0.002249	0.002249	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
signs of flu	1/10	0.000320	0.000320	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)06p_bp	1/10	0.000313	0.000313	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
normal body temperature	1/10	0.004664	0.004664	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt

================================================================================

Total Uncorrected significant terms: 135

Term	Count/10	Mean_p_value	Median_p_value	Files
cold flu symptoms	9/10	0.020444	0.009065	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_c82ee129	9/10	0.016452	0.014305	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu texas	8/10	0.014133	0.005457	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
how long does the flu last	8/10	0.011925	0.006939	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
h1n1	8/10	0.011083	0.000846	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of pneumonia	7/10	0.009881	0.005881	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
how long contagious	7/10	0.021790	0.030953	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu like symptoms	7/10	0.007442	0.004025	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu children	7/10	0.019803	0.016966	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
avian flu news + avian flu outbreak + bird flu out_804ade0a	7/10	0.013128	0.007824	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
flu cough	7/10	0.017798	0.013313	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
the flu virus	7/10	0.008940	0.000476	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
covid + covid deaths + covid incubation period + covid vs flu vs cold + incubation period for covid + medicine for covid + spanish flu vs covid	7/10	0.017660	0.019686	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
low body	6/10	0.019911	0.020659	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
incubation period	6/10	0.005836	0.001198	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
stomach virus	6/10	0.012120	0.009605	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
flu incubation	6/10	0.009683	0.008377	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag1.txt
tessalon	6/10	0.008639	0.001274	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
fever reducer	6/10	0.019276	0.016627	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of the flu	6/10	0.008296	0.008401	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
what is the flu	6/10	0.017516	0.006273	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
stomach flu virus	5/10	0.008493	0.000432	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu treatment	5/10	0.016359	0.014484	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
high fever	5/10	0.011713	0.001570	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)0j5fv	5/10	0.008674	0.001978	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
strep	5/10	0.004062	0.003038	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
fever with flu	5/10	0.023636	0.015996	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)0cjf0	5/10	0.019017	0.014068	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag4.txt
robitussin	5/10	0.024603	0.023237	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
sinus medicine	5/10	0.020681	0.021618	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
break a fever	5/10	0.018892	0.023617	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag1.txt
the flue	5/10	0.009908	0.003264	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
cold symptoms	5/10	0.021794	0.017958	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
pneumonia symptoms	5/10	0.025679	0.020351	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
stomach virus symptoms	5/10	0.010554	0.009367	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
(TOPIC)028tns	5/10	0.002588	0.000179	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
epidemic	5/10	0.007381	0.007068	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
the flu	5/10	0.013429	0.002669	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
influenza a vs b symptoms + medicine for flu and cough + stomach flu vs stomach bug	5/10	0.014924	0.017261	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
rsv symptoms	4/10	0.018197	0.016607	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
flu remedies	4/10	0.014918	0.010448	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)087cyy	4/10	0.015897	0.014184	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag3.txt
flu headache	4/10	0.026133	0.024205	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
flu care	4/10	0.032671	0.033329	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
strep throat	4/10	0.012015	0.010065	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
stomach flu diarrhea	4/10	0.023422	0.024024	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
flu a symptoms	4/10	0.018435	0.018369	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag1.txt
avian flu california + avian flu symptoms in human_20e1d83d	4/10	0.030317	0.035307	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
fever flu symptoms	4/10	0.021614	0.024087	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt
flu medicine	4/10	0.033769	0.031144	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
pandemic	4/10	0.034128	0.038197	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt
stomach flu	4/10	0.025378	0.029889	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)03t8j0	4/10	0.012593	0.009792	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
chest cold	4/10	0.035470	0.040948	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
period fever	4/10	0.024259	0.025320	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
avian flu	4/10	0.018342	0.017846	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)01c751	4/10	0.027848	0.028597	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
what is a fever	4/10	0.018447	0.011424	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
sinus infections	3/10	0.008836	0.008848	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
(TOPIC)06n3pj	3/10	0.021448	0.015727	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag2.txt, granger_significant_terms_nrevss_lag5.txt
cough and sore throat	3/10	0.020792	0.025603	comprehensive_granger_individual_significant_terms_ili_lag3.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
flu and fever	3/10	0.014735	0.008528	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
avian flu california + avian flu symptoms in human_58835c33	3/10	0.018111	0.020138	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
tylenol extra strength	3/10	0.028254	0.034641	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt
(TOPIC)0b2cnj	3/10	0.020671	0.016439	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt
(TOPIC)01b_21	3/10	0.015801	0.015515	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
current flu symptoms + flu type a treatment + how long am i contagious with the flu + type a influenza symptoms	3/10	0.028214	0.031709	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag2.txt
dry cough	3/10	0.020740	0.019645	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
how long does flu last	3/10	0.011144	0.016103	comprehensive_granger_individual_significant_terms_ili_lag1.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag3.txt
best cough medicine	3/10	0.019909	0.014164	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
flu stomach pain	3/10	0.034990	0.037667	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag1.txt
i have the flu	3/10	0.021737	0.012523	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag2.txt
symptoms of cold	3/10	0.021206	0.025690	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)09gh4jl + best flu medicine + best medicine_e404534b	3/10	0.012992	0.008029	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag3.txt
avian flu california + avian flu symptoms in human_44b9fefd	3/10	0.016172	0.013568	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
(TOPIC)0g9pc	3/10	0.005670	0.000793	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
best over the counter flu medicine + cold and flu _4d7536f3	3/10	0.025454	0.024701	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
congestion medicine	3/10	0.012228	0.005232	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
avian flu humans + avian flu in chickens + avian f_de498a91	3/10	0.021416	0.008064	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt
tussionex	3/10	0.024144	0.025915	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
treat flu	3/10	0.032775	0.028980	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
walking pneumonia	2/10	0.021344	0.021344	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
oscillococcinum	2/10	0.030014	0.030014	comprehensive_granger_individual_significant_terms_ili_lag3.txt, granger_significant_terms_nrevss_lag2.txt
(TOPIC)08pr_0	2/10	0.037537	0.037537	comprehensive_granger_individual_significant_terms_ili_lag3.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
thermoscan	2/10	0.023210	0.023210	comprehensive_granger_individual_significant_terms_ili_lag2.txt, comprehensive_granger_individual_significant_terms_ili_lag1.txt
the flu symptoms	2/10	0.031005	0.031005	comprehensive_granger_individual_significant_terms_ili_lag2.txt, granger_significant_terms_nrevss_lag5.txt
cough and fever	2/10	0.022294	0.022294	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt
cure flu	2/10	0.018160	0.018160	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt
(TOPIC)0683jy	2/10	0.018494	0.018494	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt
reduce fever	2/10	0.011626	0.011626	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag1.txt
sinus	2/10	0.011416	0.011416	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag2.txt
advil cold and flu + allergies vs cold + best cold_52555453	2/10	0.019966	0.019966	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag4.txt
best flu medicine for adults + children's tylenol _de4e67e7	2/10	0.018243	0.018243	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag2.txt
best over the counter flu medicine + cold and flu _53c4abfe	2/10	0.017375	0.017375	comprehensive_granger_individual_significant_terms_ili_lag1.txt, granger_significant_terms_nrevss_lag5.txt
symptoms of bronchitis	2/10	0.027347	0.027347	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
expectorant	2/10	0.013279	0.013279	comprehensive_granger_individual_significant_terms_ili_lag5.txt, comprehensive_granger_individual_significant_terms_ili_lag4.txt
dangerous fever	2/10	0.016543	0.016543	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt
pneumonia	2/10	0.026703	0.026703	comprehensive_granger_individual_significant_terms_ili_lag5.txt, granger_significant_terms_nrevss_lag5.txt
flu virus	2/10	0.029058	0.029058	comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
period flu	2/10	0.030962	0.030962	comprehensive_granger_individual_significant_terms_ili_lag4.txt, granger_significant_terms_nrevss_lag5.txt
alka seltzer cold and cough + cold vs sinus infect_75a01e90	2/10	0.019869	0.019869	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
influenza symptoms	2/10	0.018641	0.018641	granger_significant_terms_nrevss_lag5.txt, granger_significant_terms_nrevss_lag4.txt
signs of flu	2/10	0.012842	0.012842	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
advil cold and flu + allergies vs cold + best cold_7dd0ee04	2/10	0.036140	0.036140	granger_significant_terms_nrevss_lag4.txt, granger_significant_terms_nrevss_lag3.txt
(TOPIC)06p_bp	2/10	0.024528	0.024528	granger_significant_terms_nrevss_lag1.txt, granger_significant_terms_nrevss_lag2.txt
normal body temperature	2/10	0.016074	0.016074	granger_significant_terms_nrevss_lag3.txt, granger_significant_terms_nrevss_lag2.txt
bronchitis	1/10	0.019987	0.019987	comprehensive_granger_individual_significant_terms_ili_lag3.txt
fever symptoms	1/10	0.045507	0.045507	comprehensive_granger_individual_significant_terms_ili_lag3.txt
(TOPIC)0b76bty	1/10	0.000541	0.000541	comprehensive_granger_individual_significant_terms_ili_lag2.txt
