term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.017138342943796903,0.017138342943796903,0.017138342943796903,0.017138342943796903,0.0,Consistent
/m/01c751,0.2609373596301019,0.2609373596301019,0.2609373596301019,0.2609373596301019,0.0,Never
/m/028tns,0.017424959993364686,0.017424959993364686,0.017424959993364686,0.017424959993364686,0.0,Consistent
/m/03t8j0,0.12564154238805347,0.12564154238805347,0.12564154238805347,0.12564154238805347,0.0,Never
/m/0416v7,0.1775204689119596,0.17752046891195958,0.1775204689119596,0.1775204689119596,2.7755575615628914e-17,Never
/m/05s5v6,0.6058109607967201,0.6058109607967201,0.6058109607967201,0.6058109607967201,0.0,Never
/m/0683jy,0.15332441794194063,0.15332441794194063,0.15332441794194063,0.15332441794194063,0.0,Never
/m/06n3pj,0.0008960943054235893,0.0008960943054235893,0.0008960943054235893,0.0008960943054235893,0.0,Consistent
/m/06p_bp,0.4949581587276225,0.4949581587276224,0.4949581587276225,0.4949581587276225,1.1102230246251565e-16,Never
/m/087cyy,0.9581006089289317,0.9581006089289315,0.9581006089289317,0.9581006089289317,2.220446049250313e-16,Never
/m/08pr_0,0.999127535150611,0.9991275351506108,0.999127535150611,0.999127535150611,2.220446049250313e-16,Never
/m/0b2cnj,0.012122800108067433,0.012122800108067433,0.012122800108067433,0.012122800108067433,0.0,Consistent
/m/0b76bty,0.5177775221483878,0.5177775221483877,0.5177775221483878,0.5177775221483878,1.1102230246251565e-16,Never
/m/0cjf0,0.01530594909436156,0.01530594909436156,0.01530594909436156,0.01530594909436156,0.0,Consistent
/m/0g9pc,0.132178062123951,0.132178062123951,0.132178062123951,0.132178062123951,0.0,Never
/m/0gxb2,0.4910531900176054,0.4910531900176055,0.4910531900176054,0.4910531900176054,1.1102230246251565e-16,Never
/m/0j5fv,0.1812473409203178,0.18124734092031777,0.1812473409203178,0.1812473409203178,2.7755575615628914e-17,Never
/m/0n073,0.06026724181862897,0.06026724181862897,0.06026724181862897,0.06026724181862897,0.0,Never
acute bronchitis,0.18543000896526785,0.18543000896526785,0.18543000896526785,0.18543000896526785,0.0,Never
avian flu,0.5902486990908005,0.5902486990908005,0.5902486990908005,0.5902486990908005,0.0,Never
best cold medicine,0.021163155507943676,0.021163155507943676,0.021163155507943676,0.021163155507943676,0.0,Consistent
best cough medicine,0.010107504660228916,0.010107504660228916,0.010107504660228916,0.010107504660228916,0.0,Consistent
best medicine for cold,0.04675954187049458,0.04675954187049458,0.04675954187049458,0.04675954187049458,0.0,Consistent
body temperature,0.2545557831733246,0.25455578317332456,0.2545557831733246,0.2545557831733246,5.551115123125783e-17,Never
braun thermoscan,0.9317285347484789,0.931728534748479,0.9317285347484789,0.9317285347484789,1.1102230246251565e-16,Never
break a fever,0.12024960291710052,0.12024960291710052,0.12024960291710052,0.12024960291710052,0.0,Never
bronchitis,0.31414247517382865,0.31414247517382865,0.31414247517382865,0.31414247517382865,0.0,Never
cdc,0.08209777459130363,0.08209777459130363,0.08209777459130363,0.08209777459130363,0.0,Never
chest cold,0.017795013789853487,0.017795013789853487,0.017795013789853487,0.017795013789853487,0.0,Consistent
cold and cough,0.30337056483140223,0.30337056483140223,0.30337056483140223,0.30337056483140223,0.0,Never
cold flu,0.17301606220274968,0.17301606220274968,0.17301606220274968,0.17301606220274968,0.0,Never
cold flu symptoms,0.18560318083742622,0.18560318083742625,0.18560318083742622,0.18560318083742622,2.7755575615628914e-17,Never
cold symptoms,0.23886592623967529,0.23886592623967537,0.23886592623967529,0.23886592623967529,8.326672684688674e-17,Never
congestion medicine,0.34911661793190873,0.34911661793190873,0.34911661793190873,0.34911661793190873,0.0,Never
cough and fever,0.7311336194981284,0.7311336194981285,0.7311336194981284,0.7311336194981284,1.1102230246251565e-16,Never
cough and sore throat,0.1911176231748022,0.1911176231748022,0.1911176231748022,0.1911176231748022,0.0,Never
cure flu,0.11611161578958074,0.11611161578958074,0.11611161578958074,0.11611161578958074,0.0,Never
dangerous fever,0.12918906111872075,0.12918906111872078,0.12918906111872075,0.12918906111872075,2.7755575615628914e-17,Never
dry cough,0.09919637459186215,0.09919637459186213,0.09919637459186215,0.09919637459186215,1.3877787807814457e-17,Never
ear thermometer,0.8683088314747129,0.868308831474713,0.8683088314747129,0.8683088314747129,1.1102230246251565e-16,Never
epidemic,0.24344937924084076,0.24344937924084073,0.24344937924084076,0.24344937924084076,2.7755575615628914e-17,Never
expectorant,0.005461227042450112,0.005461227042450112,0.005461227042450112,0.005461227042450112,0.0,Consistent
fever,0.6163835490148897,0.6163835490148897,0.6163835490148897,0.6163835490148897,0.0,Never
fever and chills,0.040397528791582205,0.040397528791582205,0.040397528791582205,0.040397528791582205,0.0,Consistent
fever flu symptoms,0.8573616986290178,0.8573616986290177,0.8573616986290178,0.8573616986290178,1.1102230246251565e-16,Never
fever reducer,0.5361883315786924,0.5361883315786924,0.5361883315786924,0.5361883315786924,0.0,Never
fever symptoms,0.01087822064220667,0.01087822064220667,0.01087822064220667,0.01087822064220667,0.0,Consistent
fever with flu,0.01453727220812906,0.01453727220812906,0.01453727220812906,0.01453727220812906,0.0,Consistent
flu a symptoms,0.21514947018973607,0.2151494701897361,0.21514947018973607,0.21514947018973607,2.7755575615628914e-17,Never
flu and fever,0.3864180329898863,0.3864180329898863,0.3864180329898863,0.3864180329898863,0.0,Never
flu care,0.9371473310985453,0.9371473310985451,0.9371473310985453,0.9371473310985453,2.220446049250313e-16,Never
flu children,0.8404400393704844,0.8404400393704844,0.8404400393704844,0.8404400393704844,0.0,Never
flu cough,0.29025674594923845,0.2902567459492385,0.29025674594923845,0.29025674594923845,5.551115123125783e-17,Never
flu headache,0.8073964899550545,0.8073964899550546,0.8073964899550545,0.8073964899550545,1.1102230246251565e-16,Never
flu incubation,0.01814788227957964,0.01814788227957964,0.01814788227957964,0.01814788227957964,0.0,Consistent
flu like symptoms,0.05055237517294142,0.05055237517294142,0.05055237517294142,0.05055237517294142,0.0,Never
flu medicine,0.4700009182246949,0.470000918224695,0.4700009182246949,0.4700009182246949,5.551115123125783e-17,Never
flu remedies,0.4625817073418672,0.46258170734186715,0.4625817073418672,0.4625817073418672,5.551115123125783e-17,Never
flu stomach pain,0.07853173728007812,0.07853173728007813,0.07853173728007812,0.07853173728007812,1.3877787807814457e-17,Never
flu test,0.0014293307751892526,0.0014293307751892526,0.0014293307751892526,0.0014293307751892526,0.0,Consistent
flu texas,0.976329578683712,0.9763295786837118,0.976329578683712,0.976329578683712,1.1102230246251565e-16,Never
flu treatment,0.04628608917109722,0.04628608917109722,0.04628608917109722,0.04628608917109722,0.0,Consistent
flu virus,0.622458997739556,0.6224589977395562,0.622458997739556,0.622458997739556,1.1102230246251565e-16,Never
food poisoning,0.49077726684550815,0.49077726684550826,0.49077726684550815,0.49077726684550815,1.1102230246251565e-16,Never
food poisoning symptoms,0.04957002741500338,0.04957002741500338,0.04957002741500338,0.04957002741500338,0.0,Consistent
h1n1,0.5165441723111539,0.5165441723111538,0.5165441723111539,0.5165441723111539,1.1102230246251565e-16,Never
high fever,0.25180297615856906,0.251802976158569,0.25180297615856906,0.25180297615856906,5.551115123125783e-17,Never
how long contagious,0.0021151419268401472,0.0021151419268401472,0.0021151419268401472,0.0021151419268401472,0.0,Consistent
