Dataset,Category,N_Terms,Mean_Count,Std_Count,Mean_Pvalue,Std_Pvalue,Median_Pvalue,Std_Median_Pvalue
ILI,Bonferroni,1,4.0,0.0,0.000292,0.0,0.000292,0.0
ILI,FDR,3,2.0,0.0,0.0011586666666666668,0.0001310072093012018,0.0011586666666666668,0.0001310072093012018
ILI,Uncorrected,47,3.148936170212766,1.4872325206213868,0.022772382978723405,0.01333976056047387,0.022498276595744684,0.013588850756445212
NREVSS,Bonferroni,12,1.4166666666666667,0.6400954789890505,0.00015391666666666668,0.00012562010078893515,0.00014916666666666667,0.0001300434756362485
NREVSS,FDR,27,1.1851851851851851,0.38844772154450063,0.002431185185185185,0.0013132276899709536,0.002431185185185185,0.0013132276899709536
NREVSS,Uncorrected,65,1.5846153846153845,0.9096458768673528,0.027013184615384614,0.010593397371646617,0.026340353846153845,0.011293243464643625
