term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.0003325410771060078,0.0003325410771060078,0.0003325410771060078,0.0003325410771060078,0.0,Consistent
/m/01c751,0.8843006755750924,0.8843006755750925,0.8843006755750924,0.8843006755750924,1.1102230246251565e-16,Never
/m/028tns,0.12122724279756114,0.1212272427975611,0.12122724279756114,0.12122724279756114,4.163336342344337e-17,Never
/m/03t8j0,0.04832701803320005,0.04832701803320005,0.04832701803320005,0.04832701803320005,0.0,Consistent
/m/0416v7,0.005516933093749121,0.005516933093749121,0.005516933093749121,0.005516933093749121,0.0,Consistent
/m/05s5v6,0.06359305808291182,0.06359305808291182,0.06359305808291182,0.06359305808291182,0.0,Never
/m/0683jy,0.006779620031794442,0.006779620031794442,0.006779620031794442,0.006779620031794442,0.0,Consistent
/m/06n3pj,3.951947445079984e-05,3.951947445079984e-05,3.951947445079984e-05,3.951947445079984e-05,0.0,Consistent
/m/06p_bp,0.07798237870859037,0.07798237870859036,0.07798237870859037,0.07798237870859037,1.3877787807814457e-17,Never
/m/087cyy,0.9173220825503128,0.9173220825503129,0.9173220825503128,0.9173220825503128,1.1102230246251565e-16,Never
/m/08pr_0,0.4927407081422458,0.4927407081422459,0.4927407081422458,0.4927407081422458,1.1102230246251565e-16,Never
/m/0b2cnj,0.12430602962727633,0.12430602962727634,0.12430602962727633,0.12430602962727633,1.3877787807814457e-17,Never
/m/0b76bty,0.03736037826431182,0.03736037826431182,0.03736037826431182,0.03736037826431182,0.0,Consistent
/m/0cjf0,0.36529233872804756,0.36529233872804756,0.36529233872804756,0.36529233872804756,0.0,Never
/m/0g9pc,0.7682989020429258,0.7682989020429257,0.7682989020429258,0.7682989020429258,1.1102230246251565e-16,Never
/m/0gxb2,0.41033459078786616,0.4103345907878662,0.41033459078786616,0.41033459078786616,5.551115123125783e-17,Never
/m/0j5fv,0.2257690994094308,0.22576909940943077,0.2257690994094308,0.2257690994094308,2.7755575615628914e-17,Never
/m/0n073,0.0001326114492521402,0.0001326114492521402,0.0001326114492521402,0.0001326114492521402,0.0,Consistent
acute bronchitis,0.005744809699800735,0.005744809699800735,0.005744809699800735,0.005744809699800735,0.0,Consistent
avian flu,0.18188231211527817,0.1818823121152782,0.18188231211527817,0.18188231211527817,2.7755575615628914e-17,Never
best cold medicine,0.0007756998391974523,0.0007756998391974523,0.0007756998391974523,0.0007756998391974523,0.0,Consistent
best cough medicine,0.0013462269765421864,0.0013462269765421864,0.0013462269765421864,0.0013462269765421864,0.0,Consistent
best medicine for cold,0.0015389802369744077,0.0015389802369744077,0.0015389802369744077,0.0015389802369744077,0.0,Consistent
body temperature,0.29667313007598006,0.2966731300759801,0.29667313007598006,0.29667313007598006,5.551115123125783e-17,Never
braun thermoscan,0.581389889064553,0.581389889064553,0.581389889064553,0.581389889064553,0.0,Never
break a fever,0.4397276047538974,0.4397276047538974,0.4397276047538974,0.4397276047538974,0.0,Never
bronchitis,0.00043330618171633084,0.00043330618171633084,0.00043330618171633084,0.00043330618171633084,0.0,Consistent
cdc,0.06892646795890245,0.06892646795890246,0.06892646795890245,0.06892646795890245,1.3877787807814457e-17,Never
chest cold,5.622153926410078e-06,5.622153926410078e-06,5.622153926410078e-06,5.622153926410078e-06,0.0,Consistent
cold and cough,0.00021247295428206137,0.00021247295428206137,0.00021247295428206137,0.00021247295428206137,0.0,Consistent
cold flu,0.0011538225460457907,0.0011538225460457907,0.0011538225460457907,0.0011538225460457907,0.0,Consistent
cold flu symptoms,0.043549280615609476,0.043549280615609476,0.043549280615609476,0.043549280615609476,0.0,Consistent
cold symptoms,0.0030229839370647937,0.0030229839370647937,0.0030229839370647937,0.0030229839370647937,0.0,Consistent
congestion medicine,0.01017627575933755,0.01017627575933755,0.01017627575933755,0.01017627575933755,0.0,Consistent
