term,individual_p,mean_group_p,min_group_p,max_group_p,std_group_p,consistency
/m/01b_21,0.02249519305039327,0.02249519305039327,0.02249519305039327,0.02249519305039327,0.0,Consistent
/m/01c751,0.9140806982106631,0.9140806982106632,0.9140806982106631,0.9140806982106631,1.1102230246251565e-16,Never
/m/028tns,0.23156543355363202,0.231565433553632,0.23156543355363202,0.23156543355363202,2.7755575615628914e-17,Never
/m/03t8j0,0.4605193193043745,0.4605193193043745,0.4605193193043745,0.4605193193043745,0.0,Never
/m/0416v7,0.1387504901566261,0.13875049015662613,0.1387504901566261,0.1387504901566261,2.7755575615628914e-17,Never
/m/05s5v6,0.34287310186275843,0.3428731018627584,0.34287310186275843,0.34287310186275843,5.551115123125783e-17,Never
/m/0683jy,0.20572458074752664,0.20572458074752661,0.20572458074752664,0.20572458074752664,2.7755575615628914e-17,Never
/m/06n3pj,0.025579203100946746,0.025579203100946746,0.025579203100946746,0.025579203100946746,0.0,Consistent
/m/06p_bp,0.5928231411766656,0.5928231411766657,0.5928231411766656,0.5928231411766656,1.1102230246251565e-16,Never
/m/087cyy,0.9976923043128126,0.9976923043128127,0.9976923043128126,0.9976923043128126,1.1102230246251565e-16,Never
/m/08pr_0,0.970283980334595,0.9702839803345951,0.970283980334595,0.970283980334595,1.1102230246251565e-16,Never
/m/0b2cnj,0.7709975942693275,0.7709975942693276,0.7709975942693275,0.7709975942693275,1.1102230246251565e-16,Never
/m/0b76bty,0.12832290451952566,0.1283229045195257,0.12832290451952566,0.12832290451952566,2.7755575615628914e-17,Never
/m/0cjf0,0.8870324357234531,0.887032435723453,0.8870324357234531,0.8870324357234531,1.1102230246251565e-16,Never
/m/0g9pc,0.9961901822456513,0.9961901822456513,0.9961901822456513,0.9961901822456513,0.0,Never
/m/0gxb2,0.5156357154128103,0.5156357154128102,0.5156357154128103,0.5156357154128103,1.1102230246251565e-16,Never
/m/0j5fv,0.7069387385084949,0.7069387385084948,0.7069387385084949,0.7069387385084949,1.1102230246251565e-16,Never
/m/0n073,0.013669100119979793,0.013669100119979793,0.013669100119979793,0.013669100119979793,0.0,Consistent
acute bronchitis,0.15561545192943238,0.1556154519294324,0.15561545192943238,0.15561545192943238,2.7755575615628914e-17,Never
avian flu,0.1615302098670477,0.1615302098670477,0.1615302098670477,0.1615302098670477,0.0,Never
best cold medicine,0.017143069272049227,0.017143069272049227,0.017143069272049227,0.017143069272049227,0.0,Consistent
best cough medicine,0.27308615544139214,0.2730861554413922,0.27308615544139214,0.27308615544139214,5.551115123125783e-17,Never
best medicine for cold,0.0696997702834703,0.0696997702834703,0.0696997702834703,0.0696997702834703,0.0,Never
body temperature,0.41933751517594653,0.4193375151759466,0.41933751517594653,0.41933751517594653,5.551115123125783e-17,Never
braun thermoscan,0.9847051474899412,0.9847051474899411,0.9847051474899412,0.9847051474899412,1.1102230246251565e-16,Never
break a fever,0.882331225100634,0.882331225100634,0.882331225100634,0.882331225100634,0.0,Never
bronchitis,0.06130182931564532,0.06130182931564532,0.06130182931564532,0.06130182931564532,0.0,Never
cdc,0.1613015934087263,0.16130159340872632,0.1613015934087263,0.1613015934087263,2.7755575615628914e-17,Never
chest cold,0.0023464119198750577,0.0023464119198750577,0.0023464119198750577,0.0023464119198750577,0.0,Consistent
cold and cough,0.09395706976570095,0.09395706976570094,0.09395706976570095,0.09395706976570095,1.3877787807814457e-17,Never
cold flu,0.05099539771393269,0.05099539771393269,0.05099539771393269,0.05099539771393269,0.0,Never
cold flu symptoms,0.5899789760942947,0.5899789760942948,0.5899789760942947,0.5899789760942947,1.1102230246251565e-16,Never
cold symptoms,0.10251913623608278,0.10251913623608279,0.10251913623608278,0.10251913623608278,1.3877787807814457e-17,Never
congestion medicine,0.27276410340196255,0.2727641034019626,0.27276410340196255,0.27276410340196255,5.551115123125783e-17,Never
