Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2024,40,0-4 yr,0,0,15,6,5,0,0,0,0
2024,41,0-4 yr,0,0,12,5,7,1,0,0,0
2024,42,0-4 yr,0,0,13,13,4,1,0,0,0
2024,43,0-4 yr,0,0,20,22,5,1,0,0,0
2024,44,0-4 yr,0,0,18,22,4,2,0,0,0
2024,45,0-4 yr,0,0,26,22,4,1,0,0,0
2024,46,0-4 yr,0,0,39,30,10,1,0,1,0
2024,47,0-4 yr,0,0,42,39,8,1,0,2,0
2024,48,0-4 yr,0,0,64,42,10,2,0,3,0
2024,49,0-4 yr,0,0,82,53,17,4,0,4,0
2024,50,0-4 yr,0,0,145,99,26,2,0,3,0
2024,51,0-4 yr,0,0,203,111,27,3,0,2,0
2024,52,0-4 yr,0,0,238,186,34,3,0,5,0
2025,1,0-4 yr,0,0,293,260,47,6,0,4,0
2025,2,0-4 yr,0,0,190,147,31,4,0,2,0
2025,3,0-4 yr,0,0,229,189,77,3,0,2,0
2025,4,0-4 yr,0,0,256,253,154,2,0,5,0
2025,5,0-4 yr,0,0,251,284,175,11,0,6,0
2025,6,0-4 yr,0,0,205,220,136,4,0,9,0
2025,7,0-4 yr,0,0,165,192,83,6,0,9,0
2025,8,0-4 yr,0,0,125,168,42,9,0,8,0
2025,9,0-4 yr,0,0,100,147,38,8,0,11,0
2025,10,0-4 yr,0,0,83,97,34,9,0,9,0
2025,11,0-4 yr,0,0,56,90,36,6,0,12,0
2025,12,0-4 yr,0,0,60,76,18,12,0,12,0
2025,13,0-4 yr,0,0,34,48,7,13,0,6,0
2025,14,0-4 yr,0,0,16,43,5,26,0,7,0
2025,15,0-4 yr,0,0,15,38,4,18,0,10,0
2025,16,0-4 yr,0,0,15,21,0,23,0,9,0
2025,17,0-4 yr,0,0,7,19,0,10,0,10,0
2025,18,0-4 yr,0,0,7,15,1,7,0,7,0
2025,19,0-4 yr,0,0,2,10,0,12,0,6,0
2025,20,0-4 yr,0,0,3,12,0,7,0,3,0
2025,21,0-4 yr,0,0,1,2,1,3,0,1,0
2025,22,0-4 yr,0,0,2,3,0,4,0,2,0
2025,23,0-4 yr,0,0,1,2,0,2,0,1,0
2024,40,5-24 yr,0,0,34,27,10,5,0,0,0
2024,41,5-24 yr,0,0,39,23,11,2,0,0,0
2024,42,5-24 yr,0,0,40,26,4,9,0,0,0
2024,43,5-24 yr,0,0,47,50,7,6,0,2,0
2024,44,5-24 yr,0,0,84,43,13,10,0,1,0
2024,45,5-24 yr,0,0,93,62,15,16,0,3,0
2024,46,5-24 yr,0,0,100,63,24,8,0,3,0
2024,47,5-24 yr,0,0,119,78,31,14,0,7,0
2024,48,5-24 yr,0,0,139,101,19,10,0,9,0
2024,49,5-24 yr,0,0,231,130,30,21,0,9,0
2024,50,5-24 yr,0,0,394,278,68,31,0,11,0
2024,51,5-24 yr,0,0,596,356,84,18,0,16,0
2024,52,5-24 yr,0,0,583,330,84,20,0,20,0
2025,1,5-24 yr,0,0,395,262,55,5,0,19,0
2025,2,5-24 yr,0,0,430,263,64,12,0,22,0
2025,3,5-24 yr,0,0,588,496,152,29,0,24,0
2025,4,5-24 yr,0,0,740,623,263,22,0,30,0
2025,5,5-24 yr,0,0,789,708,365,28,0,66,0
2025,6,5-24 yr,0,0,618,597,313,36,0,72,0
2025,7,5-24 yr,0,0,460,476,187,35,0,79,0
2025,8,5-24 yr,0,0,367,364,88,59,0,62,0
2025,9,5-24 yr,0,0,266,339,107,35,0,57,0
2025,10,5-24 yr,0,0,188,252,99,64,0,62,0
2025,11,5-24 yr,0,0,149,191,79,47,0,72,0
2025,12,5-24 yr,0,0,116,129,52,59,0,72,0
2025,13,5-24 yr,0,0,60,93,25,54,0,69,0
2025,14,5-24 yr,0,0,51,84,11,83,0,86,0
2025,15,5-24 yr,0,0,47,61,12,69,0,87,0
2025,16,5-24 yr,0,0,37,38,4,56,0,85,0
2025,17,5-24 yr,0,0,23,36,7,39,0,61,0
2025,18,5-24 yr,0,0,22,27,0,74,0,41,0
2025,19,5-24 yr,0,0,7,30,0,60,0,37,0
2025,20,5-24 yr,0,0,7,14,4,37,0,20,0
2025,21,5-24 yr,0,0,1,12,3,37,0,15,0
2025,22,5-24 yr,0,0,0,2,0,15,0,6,0
2025,23,5-24 yr,0,0,1,3,1,10,0,6,0
2024,40,25-64 yr,0,0,22,27,6,0,0,0,0
2024,41,25-64 yr,0,0,22,19,11,0,0,0,0
2024,42,25-64 yr,0,0,18,27,5,7,0,0,0
2024,43,25-64 yr,0,0,45,47,5,2,0,0,0
2024,44,25-64 yr,0,0,62,48,6,4,0,1,0
2024,45,25-64 yr,0,0,72,57,8,1,0,0,0
2024,46,25-64 yr,0,0,93,54,25,3,0,3,0
2024,47,25-64 yr,0,0,87,82,24,7,0,4,0
2024,48,25-64 yr,0,0,127,112,21,4,0,3,0
2024,49,25-64 yr,0,0,256,195,44,11,0,10,0
2024,50,25-64 yr,0,0,402,336,70,15,0,17,0
2024,51,25-64 yr,0,0,658,461,122,9,0,6,0
2024,52,25-64 yr,0,0,837,675,167,7,0,14,0
2025,1,25-64 yr,0,0,878,731,175,7,0,22,0
2025,2,25-64 yr,0,0,839,663,165,15,0,11,0
2025,3,25-64 yr,0,0,744,756,187,15,0,19,0
2025,4,25-64 yr,0,0,931,1076,283,17,0,32,0
