"time_value","geo_type","geo_value","rsv_pct_positive","flu_pct_positive","sarscov2_pct_positive","Season"
"2021-08-14","region","prairies",0.06,0,NA,"2020-2021"
"2020-11-07","region","prairies",0,0,NA,"2020-2021"
"2020-11-28","province","bc",0,0.11,NA,"2020-2021"
"2021-08-07","region","prairies",0,0,NA,"2020-2021"
"2020-11-28","nation","ca",0.02,0.05,NA,"2020-2021"
"2020-11-07","region","territories",0,1.16,NA,"2020-2021"
"2020-10-24","region","prairies",0.11,0,NA,"2020-2021"
"2020-12-12","province","on",0,0.06,NA,"2020-2021"
"2020-12-19","province","on",0.06,0,NA,"2020-2021"
"2020-10-10","province","bc",0.22,0,NA,"2020-2021"
"2021-08-28","region","atlantic",0.26,0,NA,"2020-2021"
"2020-12-26","region","prairies",0,0,NA,"2020-2021"
"2021-08-28","province","sk",0,0,NA,"2020-2021"
"2021-07-31","nation","ca",1.36,0,NA,"2020-2021"
"2021-08-28","province","qc",28.13,0.18,NA,"2020-2021"
"2020-12-26","region","atlantic",0,0,NA,"2020-2021"
"2020-12-26","province","qc",0,0,NA,"2020-2021"
"2021-08-28","province","pe",0,0,NA,"2020-2021"
"2021-08-28","province","on",1.25,0.08,NA,"2020-2021"
"2021-08-28","province","bc",0.37,0,NA,"2020-2021"
"2021-07-31","province","bc",0,0,NA,"2020-2021"
"2021-08-28","province","ns",0,0,NA,"2020-2021"
"2020-12-26","province","on",0.06,0,NA,"2020-2021"
"2021-08-28","province","nl",0.36,0,NA,"2020-2021"
"2021-08-28","province","nb",0,0,NA,"2020-2021"
"2020-12-26","province","bc",0,0,NA,"2020-2021"
"2021-08-28","province","mb",0,0,NA,"2020-2021"
"2020-12-26","region","territories",0,0,NA,"2020-2021"
"2020-08-29","region","atlantic",0,0,NA,"2020-2021"
"2021-08-28","region","prairies",0,0,NA,"2020-2021"
"2021-01-02","region","territories",0,0,NA,"2020-2021"
"2020-10-24","province","bc",0,0,NA,"2020-2021"
"2021-01-02","region","prairies",0.04,0.04,NA,"2020-2021"
"2020-10-24","province","on",0.16,0.15,NA,"2020-2021"
"2021-07-24","region","territories",0,0,NA,"2020-2021"
"2021-01-02","region","atlantic",0.13,0,NA,"2020-2021"
"2021-01-02","province","qc",0,0,NA,"2020-2021"
"2020-10-17","region","territories",0,0,NA,"2020-2021"
"2021-01-02","province","on",0.07,0,NA,"2020-2021"
"2020-10-10","nation","ca",0.1,0.01,NA,"2020-2021"
"2021-08-28","territory","nu",0,0,NA,"2020-2021"
"2021-08-28","territory","nt",0,0,NA,"2020-2021"
"2021-08-28","region","territories",0,0,NA,"2020-2021"
"2021-01-02","province","bc",0,0,NA,"2020-2021"
"2021-01-02","nation","ca",0.04,0.02,NA,"2020-2021"
"2020-12-26","nation","ca",0.01,0,NA,"2020-2021"
"2020-11-14","region","prairies",0.07,0,NA,"2020-2021"
"2020-08-29","nation","ca",0.02,0.02,NA,"2020-2021"
"2021-08-28","province","ab",0,0,NA,"2020-2021"
"2021-07-31","province","qc",11.41,0,NA,"2020-2021"
"2021-08-28","nation","ca",3.87,0.04,NA,"2020-2021"
"2021-07-31","province","on",0,0,NA,"2020-2021"
"2020-12-19","province","qc",0,0,NA,"2020-2021"
"2020-10-24","region","atlantic",0,0,NA,"2020-2021"
"2020-10-10","province","on",0,0,NA,"2020-2021"
"2020-12-19","region","prairies",0.12,0.02,NA,"2020-2021"
"2020-12-19","region","territories",0,0,NA,"2020-2021"
"2020-12-19","region","atlantic",0,0.03,NA,"2020-2021"
"2020-10-24","province","qc",0,0,NA,"2020-2021"
"2021-08-21","province","ab",0,0.17,NA,"2020-2021"
"2021-08-21","province","mb",0,0,NA,"2020-2021"
"2021-08-21","territory","yk",0,0,NA,"2020-2021"
"2021-08-21","province","sk",0,2.08,NA,"2020-2021"
"2021-08-21","province","nb",0,0,NA,"2020-2021"
"2021-08-21","province","nl",0.45,0,NA,"2020-2021"
"2021-08-21","territory","nu",0,0,NA,"2020-2021"
"2021-08-21","province","ns",0,0,NA,"2020-2021"
"2021-08-21","province","pe",0,0,NA,"2020-2021"
"2021-08-21","territory","nt",0,0,NA,"2020-2021"
"2021-08-14","province","mb",0.09,0,NA,"2020-2021"
"2021-08-14","province","ab",NA,NA,NA,"2020-2021"
"2021-08-14","province","nb",0,0,NA,"2020-2021"
"2021-08-14","province","nl",0.82,0,NA,"2020-2021"
"2021-08-14","province","ns",0,0,NA,"2020-2021"
"2021-08-14","province","pe",2.22,0,NA,"2020-2021"
"2021-08-14","province","sk",0,0,NA,"2020-2021"
"2021-08-14","territory","nt",NA,NA,NA,"2020-2021"
"2021-08-14","territory","nu",NA,NA,NA,"2020-2021"
"2021-08-14","territory","yk",0.81,0,NA,"2020-2021"
"2021-08-07","province","nb",0,0,NA,"2020-2021"
"2021-08-07","province","mb",0,0,NA,"2020-2021"
"2021-08-07","province","nl",0.72,0,NA,"2020-2021"
"2021-08-07","province","ns",0,0,NA,"2020-2021"
"2021-08-07","province","pe",0,0,NA,"2020-2021"
"2021-08-07","province","sk",0,0,NA,"2020-2021"
"2021-08-07","territory","nt",0,0,NA,"2020-2021"
"2021-08-07","territory","nu",0,0,NA,"2020-2021"
"2021-08-07","territory","yk",0,0,NA,"2020-2021"
"2021-08-07","province","ab",0,0,NA,"2020-2021"
"2021-07-31","province","ab",0,0,NA,"2020-2021"
"2021-07-31","province","sk",0,0,NA,"2020-2021"
"2021-07-31","province","mb",0,0,NA,"2020-2021"
"2021-07-31","province","nb",0,0,NA,"2020-2021"
"2021-07-31","province","nl",NA,NA,NA,"2020-2021"
"2021-07-31","province","ns",0,0,NA,"2020-2021"
"2021-07-31","province","pe",0,0,NA,"2020-2021"
"2021-07-31","territory","nt",0,0,NA,"2020-2021"
"2021-07-31","territory","nu",0,0,NA,"2020-2021"
"2021-07-31","territory","yk",0,0,NA,"2020-2021"
"2021-07-24","territory","yk",0,0,NA,"2020-2021"
"2021-07-24","territory","nt",0,0,NA,"2020-2021"
"2021-07-24","territory","nu",0,0,NA,"2020-2021"
"2021-07-24","province","ns",0,0,NA,"2020-2021"
"2021-07-24","province","nl",0,0,NA,"2020-2021"
"2021-07-24","province","ab",0,0,NA,"2020-2021"
"2021-07-24","province","nb",0,0,NA,"2020-2021"
"2021-07-24","province","mb",0,0,NA,"2020-2021"
"2021-07-24","province","sk",0,0,NA,"2020-2021"
"2021-07-24","province","pe",0,0,NA,"2020-2021"
"2021-07-17","territory","nt",0,0,NA,"2020-2021"
"2021-07-17","territory","nu",0,0,NA,"2020-2021"
"2021-07-17","province","ab",0,0,NA,"2020-2021"
"2021-07-17","province","pe",0,0,NA,"2020-2021"
"2021-07-17","province","mb",0,0,NA,"2020-2021"
"2021-07-17","province","ns",0,0,NA,"2020-2021"
"2021-07-17","province","nl",0,0,NA,"2020-2021"
"2021-07-17","province","nb",0,0,NA,"2020-2021"
"2021-07-17","province","sk",0,0,NA,"2020-2021"
"2021-07-17","territory","yk",0,0,NA,"2020-2021"
"2021-07-10","province","pe",0,0,NA,"2020-2021"
"2021-07-10","territory","yk",0,0,NA,"2020-2021"
"2021-07-10","territory","nu",0,0,NA,"2020-2021"
"2021-07-10","province","nb",0,0,NA,"2020-2021"
"2021-07-10","province","nl",0,0,NA,"2020-2021"
"2021-07-10","province","sk",0,0,NA,"2020-2021"
"2021-07-10","province","mb",0,0,NA,"2020-2021"
"2021-07-10","province","ns",0,0,NA,"2020-2021"
"2021-07-10","territory","nt",0,0,NA,"2020-2021"
"2021-07-10","province","ab",0,0,NA,"2020-2021"
"2021-07-03","province","pe",0,0,NA,"2020-2021"
"2021-07-03","province","ns",0,0,NA,"2020-2021"
"2021-07-03","province","nl",0,0,NA,"2020-2021"
"2021-07-03","province","nb",0,0,NA,"2020-2021"
"2021-07-03","province","mb",0.09,0,NA,"2020-2021"
"2021-07-03","territory","nt",0,0,NA,"2020-2021"
